"","value_date","variable_name","location","measurement_unit","value"
"187","2010-01-03 04:30:00","122","2450250","CMS","3.45465533400003"
"188","2010-01-03 04:45:00","122","2450250","CMS","3.45465533400003"
"189","2010-01-03 05:00:00","123","2450250","CMS","3.48297218100003"
"190","2010-01-03 05:15:00","122","2450250","CMS","3.45465533400003"
"191","2010-01-03 05:30:00","122","2450250","CMS","3.45465533400003"
"192","2010-01-03 05:45:00","123","2450250","CMS","3.48297218100003"
"193","2010-01-03 06:00:00","122","2450250","CMS","3.45465533400003"
"194","2010-01-03 06:15:00","122","2450250","CMS","3.45465533400003"
"195","2010-01-03 06:30:00","122","2450250","CMS","3.45465533400003"
"196","2010-01-03 06:45:00","122","2450250","CMS","3.45465533400003"
"197","2010-01-03 07:00:00","122","2450250","CMS","3.45465533400003"
"198","2010-01-03 07:15:00","122","2450250","CMS","3.45465533400003"
"199","2010-01-03 07:30:00","122","2450250","CMS","3.45465533400003"
"200","2010-01-03 07:45:00","122","2450250","CMS","3.45465533400003"
"201","2010-01-03 08:00:00","122","2450250","CMS","3.45465533400003"
"202","2010-01-03 08:15:00","122","2450250","CMS","3.45465533400003"
"203","2010-01-03 08:30:00","122","2450250","CMS","3.45465533400003"
"204","2010-01-03 08:45:00","122","2450250","CMS","3.45465533400003"
"205","2010-01-03 09:00:00","122","2450250","CMS","3.45465533400003"
"206","2010-01-03 09:15:00","122","2450250","CMS","3.45465533400003"
"207","2010-01-03 09:30:00","122","2450250","CMS","3.45465533400003"
"208","2010-01-03 09:45:00","122","2450250","CMS","3.45465533400003"
"209","2010-01-03 10:00:00","122","2450250","CMS","3.45465533400003"
"210","2010-01-03 10:15:00","122","2450250","CMS","3.45465533400003"
"211","2010-01-03 10:30:00","122","2450250","CMS","3.45465533400003"
"212","2010-01-03 10:45:00","122","2450250","CMS","3.45465533400003"
"213","2010-01-03 11:00:00","122","2450250","CMS","3.45465533400003"
"214","2010-01-03 11:15:00","122","2450250","CMS","3.45465533400003"
"215","2010-01-03 11:30:00","122","2450250","CMS","3.45465533400003"
"216","2010-01-03 11:45:00","122","2450250","CMS","3.45465533400003"
"217","2010-01-03 12:00:00","122","2450250","CMS","3.45465533400003"
"218","2010-01-03 12:15:00","122","2450250","CMS","3.45465533400003"
"219","2010-01-03 12:30:00","122","2450250","CMS","3.45465533400003"
"220","2010-01-03 12:45:00","122","2450250","CMS","3.45465533400003"
"221","2010-01-03 13:00:00","122","2450250","CMS","3.45465533400003"
"222","2010-01-03 13:15:00","120","2450250","CMS","3.39802164000003"
"223","2010-01-03 13:30:00","122","2450250","CMS","3.45465533400003"
"224","2010-01-03 13:45:00","122","2450250","CMS","3.45465533400003"
"225","2010-01-03 14:00:00","120","2450250","CMS","3.39802164000003"
"226","2010-01-03 14:15:00","120","2450250","CMS","3.39802164000003"
"227","2010-01-03 14:30:00","120","2450250","CMS","3.39802164000003"
"228","2010-01-03 14:45:00","120","2450250","CMS","3.39802164000003"
"229","2010-01-03 15:00:00","120","2450250","CMS","3.39802164000003"
"230","2010-01-03 15:15:00","120","2450250","CMS","3.39802164000003"
"231","2010-01-03 15:30:00","120","2450250","CMS","3.39802164000003"
"232","2010-01-03 15:45:00","120","2450250","CMS","3.39802164000003"
"233","2010-01-03 16:00:00","120","2450250","CMS","3.39802164000003"
"234","2010-01-03 16:15:00","120","2450250","CMS","3.39802164000003"
"235","2010-01-03 16:30:00","120","2450250","CMS","3.39802164000003"
"236","2010-01-03 16:45:00","120","2450250","CMS","3.39802164000003"
"237","2010-01-03 17:00:00","120","2450250","CMS","3.39802164000003"
"238","2010-01-03 17:15:00","120","2450250","CMS","3.39802164000003"
"239","2010-01-03 17:30:00","120","2450250","CMS","3.39802164000003"
"240","2010-01-03 17:45:00","120","2450250","CMS","3.39802164000003"
"241","2010-01-03 18:00:00","120","2450250","CMS","3.39802164000003"
"242","2010-01-03 18:15:00","120","2450250","CMS","3.39802164000003"
"243","2010-01-03 18:30:00","120","2450250","CMS","3.39802164000003"
"244","2010-01-03 18:45:00","120","2450250","CMS","3.39802164000003"
"245","2010-01-03 19:00:00","120","2450250","CMS","3.39802164000003"
"246","2010-01-03 19:15:00","120","2450250","CMS","3.39802164000003"
"247","2010-01-03 19:30:00","120","2450250","CMS","3.39802164000003"
"248","2010-01-03 19:45:00","120","2450250","CMS","3.39802164000003"
"249","2010-01-03 20:00:00","120","2450250","CMS","3.39802164000003"
"250","2010-01-03 20:15:00","120","2450250","CMS","3.39802164000003"
"251","2010-01-03 20:30:00","120","2450250","CMS","3.39802164000003"
"252","2010-01-03 20:45:00","120","2450250","CMS","3.39802164000003"
"253","2010-01-03 21:00:00","118","2450250","CMS","3.34138794600003"
"254","2010-01-03 21:15:00","118","2450250","CMS","3.34138794600003"
"255","2010-01-03 21:30:00","118","2450250","CMS","3.34138794600003"
"256","2010-01-03 21:45:00","118","2450250","CMS","3.34138794600003"
"257","2010-01-03 22:00:00","118","2450250","CMS","3.34138794600003"
"258","2010-01-03 22:15:00","118","2450250","CMS","3.34138794600003"
"259","2010-01-03 22:30:00","118","2450250","CMS","3.34138794600003"
"260","2010-01-03 22:45:00","118","2450250","CMS","3.34138794600003"
"261","2010-01-03 23:00:00","118","2450250","CMS","3.34138794600003"
"262","2010-01-03 23:15:00","118","2450250","CMS","3.34138794600003"
"263","2010-01-03 23:30:00","118","2450250","CMS","3.34138794600003"
"264","2010-01-03 23:45:00","118","2450250","CMS","3.34138794600003"
"265","2010-01-04 00:00:00","118","2450250","CMS","3.34138794600003"
"266","2010-01-04 00:15:00","118","2450250","CMS","3.34138794600003"
"267","2010-01-04 00:30:00","118","2450250","CMS","3.34138794600003"
"268","2010-01-04 00:45:00","118","2450250","CMS","3.34138794600003"
"269","2010-01-04 01:00:00","118","2450250","CMS","3.34138794600003"
"270","2010-01-04 01:15:00","118","2450250","CMS","3.34138794600003"
"271","2010-01-04 01:30:00","117","2450250","CMS","3.31307109900003"
"272","2010-01-04 01:45:00","117","2450250","CMS","3.31307109900003"
"273","2010-01-04 02:00:00","118","2450250","CMS","3.34138794600003"
"274","2010-01-04 02:15:00","117","2450250","CMS","3.31307109900003"
"275","2010-01-04 02:30:00","117","2450250","CMS","3.31307109900003"
"276","2010-01-04 02:45:00","117","2450250","CMS","3.31307109900003"
"277","2010-01-04 03:00:00","117","2450250","CMS","3.31307109900003"
"278","2010-01-04 03:15:00","117","2450250","CMS","3.31307109900003"
"279","2010-01-04 03:30:00","117","2450250","CMS","3.31307109900003"
"280","2010-01-04 03:45:00","117","2450250","CMS","3.31307109900003"
"281","2010-01-04 04:00:00","117","2450250","CMS","3.31307109900003"
"282","2010-01-04 04:15:00","117","2450250","CMS","3.31307109900003"
"283","2010-01-04 04:30:00","117","2450250","CMS","3.31307109900003"
"284","2010-01-04 04:45:00","117","2450250","CMS","3.31307109900003"
"285","2010-01-04 05:00:00","117","2450250","CMS","3.31307109900003"
"286","2010-01-04 05:15:00","117","2450250","CMS","3.31307109900003"
"287","2010-01-04 05:30:00","117","2450250","CMS","3.31307109900003"
"288","2010-01-04 05:45:00","117","2450250","CMS","3.31307109900003"
"289","2010-01-04 06:00:00","117","2450250","CMS","3.31307109900003"
"290","2010-01-04 06:15:00","117","2450250","CMS","3.31307109900003"
"291","2010-01-04 06:30:00","117","2450250","CMS","3.31307109900003"
"292","2010-01-04 06:45:00","117","2450250","CMS","3.31307109900003"
"293","2010-01-04 07:00:00","117","2450250","CMS","3.31307109900003"
"294","2010-01-04 07:15:00","117","2450250","CMS","3.31307109900003"
"295","2010-01-04 07:30:00","117","2450250","CMS","3.31307109900003"
"296","2010-01-04 07:45:00","117","2450250","CMS","3.31307109900003"
"297","2010-01-04 08:00:00","117","2450250","CMS","3.31307109900003"
"298","2010-01-04 08:15:00","117","2450250","CMS","3.31307109900003"
"299","2010-01-04 08:30:00","117","2450250","CMS","3.31307109900003"
"300","2010-01-04 08:45:00","117","2450250","CMS","3.31307109900003"
"301","2010-01-04 09:00:00","117","2450250","CMS","3.31307109900003"
"302","2010-01-04 09:15:00","117","2450250","CMS","3.31307109900003"
