"","secs","timest","st_id","st_lon","st_lat","q_cms","q_cfs","dpth_m","POSIXct","wy","dateTime"
"82",295200,"2010-01-04 11:00:00","    18578829",-87.38462,34.28121,0.042,1.469,0,2010-01-04 11:00:00,2010,2010-01-04 11:00:00
"83",298800,"2010-01-04 12:00:00","    18578829",-87.38462,34.28121,0.04,1.397,0,2010-01-04 12:00:00,2010,2010-01-04 12:00:00
"84",302400,"2010-01-04 13:00:00","    18578829",-87.38462,34.28121,0.038,1.34,0,2010-01-04 13:00:00,2010,2010-01-04 13:00:00
"85",306000,"2010-01-04 14:00:00","    18578829",-87.38462,34.28121,0.037,1.293,0,2010-01-04 14:00:00,2010,2010-01-04 14:00:00
"86",309600,"2010-01-04 15:00:00","    18578829",-87.38462,34.28121,0.035,1.251,0,2010-01-04 15:00:00,2010,2010-01-04 15:00:00
"87",313200,"2010-01-04 16:00:00","    18578829",-87.38462,34.28121,0.034,1.213,0,2010-01-04 16:00:00,2010,2010-01-04 16:00:00
"88",316800,"2010-01-04 17:00:00","    18578829",-87.38462,34.28121,0.033,1.178,0,2010-01-04 17:00:00,2010,2010-01-04 17:00:00
"89",320400,"2010-01-04 18:00:00","    18578829",-87.38462,34.28121,0.032,1.145,0,2010-01-04 18:00:00,2010,2010-01-04 18:00:00
"90",324000,"2010-01-04 19:00:00","    18578829",-87.38462,34.28121,0.032,1.114,0,2010-01-04 19:00:00,2010,2010-01-04 19:00:00
"91",327600,"2010-01-04 20:00:00","    18578829",-87.38462,34.28121,0.031,1.085,0,2010-01-04 20:00:00,2010,2010-01-04 20:00:00
"92",331200,"2010-01-04 21:00:00","    18578829",-87.38462,34.28121,0.03,1.057,0,2010-01-04 21:00:00,2010,2010-01-04 21:00:00
"93",334800,"2010-01-04 22:00:00","    18578829",-87.38462,34.28121,0.029,1.03,0,2010-01-04 22:00:00,2010,2010-01-04 22:00:00
"94",338400,"2010-01-04 23:00:00","    18578829",-87.38462,34.28121,0.028,1.004,0,2010-01-04 23:00:00,2010,2010-01-04 23:00:00
"95",342000,"2010-01-05 00:00:00","    18578829",-87.38462,34.28121,0.028,0.979,0,2010-01-05 00:00:00,2010,2010-01-05 00:00:00
"96",345600,"2010-01-05 01:00:00","    18578829",-87.38462,34.28121,0.027,0.954,0,2010-01-05 01:00:00,2010,2010-01-05 01:00:00
"97",349200,"2010-01-05 02:00:00","    18578829",-87.38462,34.28121,0.026,0.931,0,2010-01-05 02:00:00,2010,2010-01-05 02:00:00
"98",352800,"2010-01-05 03:00:00","    18578829",-87.38462,34.28121,0.026,0.909,0,2010-01-05 03:00:00,2010,2010-01-05 03:00:00
"99",356400,"2010-01-05 04:00:00","    18578829",-87.38462,34.28121,0.025,0.887,0,2010-01-05 04:00:00,2010,2010-01-05 04:00:00
