"","start_date","value_date","variable_name","location","measurement_unit","value"
"131","2010-01-01 01:00:00","2010-01-06 12:00:00","SQIN",18578829,"CMS",0.013
"132","2010-01-01 01:00:00","2010-01-06 13:00:00","SQIN",18578829,"CMS",0.013
"133","2010-01-01 01:00:00","2010-01-06 14:00:00","SQIN",18578829,"CMS",0.013
"134","2010-01-01 01:00:00","2010-01-06 15:00:00","SQIN",18578829,"CMS",0.013
"135","2010-01-01 01:00:00","2010-01-06 16:00:00","SQIN",18578829,"CMS",0.012
"136","2010-01-01 01:00:00","2010-01-06 17:00:00","SQIN",18578829,"CMS",0.012
"137","2010-01-01 01:00:00","2010-01-06 18:00:00","SQIN",18578829,"CMS",0.012
"138","2010-01-01 01:00:00","2010-01-06 19:00:00","SQIN",18578829,"CMS",0.012
"139","2010-01-01 01:00:00","2010-01-06 20:00:00","SQIN",18578829,"CMS",0.012
"140","2010-01-01 01:00:00","2010-01-06 21:00:00","SQIN",18578829,"CMS",0.012
"141","2010-01-01 01:00:00","2010-01-06 22:00:00","SQIN",18578829,"CMS",0.011
"142","2010-01-01 01:00:00","2010-01-06 23:00:00","SQIN",18578829,"CMS",0.011
"143","2010-01-01 01:00:00","2010-01-07 00:00:00","SQIN",18578829,"CMS",0.011
"144","2010-01-01 01:00:00","2010-01-07 01:00:00","SQIN",18578829,"CMS",0.011
"145","2010-01-01 01:00:00","2010-01-07 02:00:00","SQIN",18578829,"CMS",0.011
"146","2010-01-01 01:00:00","2010-01-07 03:00:00","SQIN",18578829,"CMS",0.011
"147","2010-01-01 01:00:00","2010-01-07 04:00:00","SQIN",18578829,"CMS",0.011
"148","2010-01-01 01:00:00","2010-01-07 05:00:00","SQIN",18578829,"CMS",0.011
"149","2010-01-01 01:00:00","2010-01-07 06:00:00","SQIN",18578829,"CMS",0.01
"150","2010-01-01 01:00:00","2010-01-07 07:00:00","SQIN",18578829,"CMS",0.01
"151","2010-01-01 01:00:00","2010-01-07 08:00:00","SQIN",18578829,"CMS",0.01
"152","2010-01-01 01:00:00","2010-01-07 09:00:00","SQIN",18578829,"CMS",0.01
"153","2010-01-01 01:00:00","2010-01-07 10:00:00","SQIN",18578829,"CMS",0.01
"154","2010-01-01 01:00:00","2010-01-07 11:00:00","SQIN",18578829,"CMS",0.01
"155","2010-01-01 01:00:00","2010-01-07 12:00:00","SQIN",18578829,"CMS",0.01
"156","2010-01-01 01:00:00","2010-01-07 13:00:00","SQIN",18578829,"CMS",0.01
