,qs0,lnTe,m,Sr0,Srmax,td,vch,vr,k0,CD,NSE
31,1.24E-05,-1.373713453,0.338599705,1.335997915,0.013094765,0.386432521,956.3542175,1254.420364,0.072717494,0.852578093,0.021289745
32,1.41E-05,-0.33006661,0.505827469,2.091864268,0.015383894,0.457164077,961.414151,888.0693498,0.14558536,0.322408277,0.020124327
33,2.84E-05,-1.001892274,0.391607012,0.275929825,0.025697643,0.490399702,713.0185589,722.7711338,0.116515228,0.46226528,-0.193433666
34,2.67E-05,-0.949984703,0.34228541,1.32057837,0.015156998,0.072986611,651.9418339,1960.731868,0.138375898,0.566230165,-0.517247071
35,2.11E-05,-1.007738383,0.509659291,0.152583052,0.01384867,0.039627647,1879.640339,1959.247274,0.060307393,0.543601312,0.015221667
36,1.05E-05,-0.607525711,0.576469105,3.277264147,0.025166389,0.206102845,1335.409884,1402.714928,0.100047228,0.42781804,0.005360542
37,2.11E-05,-0.703294795,0.48130762,1.529186941,0.027435838,0.452856356,631.1616787,1213.143355,0.096672534,0.359459025,0.005758407
38,1.06E-05,-1.025776524,0.501368724,0.850536076,0.025430326,0.073150679,1685.889429,1008.857747,0.069603516,0.20475405,0.016896264
39,1.21E-05,-1.008943005,0.557489155,2.05712072,0.010511771,0.273128281,528.5086185,635.8387681,0.138974762,0.055816636,0.069076383
40,1.22E-05,-0.812910419,0.326895193,2.042945916,0.026660091,0.372319221,550.9789586,1599.814561,0.125294331,0.134018521,0.020343393
41,1.93E-05,-0.971934648,0.30747712,0.925438392,0.020337701,0.313754922,1498.246855,854.681592,0.070277213,0.654543493,-0.18360138
42,2.85E-05,-1.794284357,0.366196504,0.627512992,0.028146076,0.433217638,1233.697891,650.7801308,0.086024262,0.560854094,-0.469479173
43,1.49E-05,-1.450682159,0.574027039,2.76244891,0.027570927,0.043040233,1953.710676,1125.911253,0.084502731,0.799725988,0.210007015
44,1.07E-05,-0.566528951,0.463123636,3.968232141,0.024876663,0.393034348,1431.518334,749.1499078,0.056237328,0.362466183,0.011265393
45,1.35E-05,-0.344004365,0.376982284,3.580134547,0.022110408,0.028345026,560.9557619,1429.744266,0.055585337,0.262014458,-0.015432495
46,1.99E-05,-0.238554989,0.464545813,1.006596749,0.023467359,0.408941143,747.580854,1642.811632,0.148089278,0.954598843,-0.040654666
47,2.23E-05,-1.548146553,0.532230481,2.856074811,0.025334901,0.188102326,879.7812286,1084.62327,0.148586615,0.283731763,0.139834733
48,1.84E-05,-0.303253181,0.518233324,3.673977859,0.027495779,0.474365526,1512.988702,1726.849033,0.124376776,0.375031511,0.017800057
49,2.44E-05,-0.983242765,0.394604032,3.429877594,0.014950371,0.461103067,1407.556632,1567.612163,0.078142764,0.365463893,-0.252814145
50,1.52E-05,-1.379668608,0.320195266,1.847816946,0.029225335,0.189085927,1979.810684,526.046287,0.142779016,0.248260461,0.096086916
51,1.36E-05,-0.352597663,0.490584322,0.946158184,0.025060158,0.118772226,1991.557814,1962.620302,0.084264211,0.43136492,0.027750228
52,1.43E-05,-1.587618369,0.487747747,1.422019976,0.02601287,0.399726477,808.8509743,1254.08443,0.148489627,0.684210157,0.227876124
53,2.87E-05,-1.924244084,0.396418728,1.919799414,0.012560911,0.239434387,768.9742841,1615.55975,0.061978013,0.367299891,-1.04822471
54,1.53E-05,-0.682057737,0.500742365,3.593072779,0.018049535,0.156710553,1762.422967,1321.110622,0.097723908,0.3637552,0.028837026
55,2.50E-05,-0.628047134,0.408477075,1.222345396,0.010127897,0.027523811,1298.982396,997.8429422,0.149562143,0.791531071,-0.497507074
56,1.22E-05,-0.542986615,0.691292007,3.309022556,0.021916813,0.238358767,1193.40194,983.2699873,0.076751057,0.565087527,0.026752339
57,1.85E-05,-0.215284798,0.438360858,1.621549916,0.022967038,0.33473531,781.1983835,501.5151753,0.123752013,0.623001915,-0.037243325
58,1.02E-05,-1.05214246,0.518367172,0.737204145,0.026075639,0.03549846,1250.193217,1625.198802,0.081845683,0.349431742,0.010773597
59,2.29E-05,-1.444069838,0.512642937,0.596832118,0.020450783,0.486768134,1924.229046,1687.826373,0.147902061,0.078582705,0.087502477
60,2.74E-05,-1.18562802,0.314158842,1.779566572,0.029048252,0.017436103,1288.355262,931.2470274,0.149558172,0.72000566,-0.290305281
61,2.58E-05,-0.29198867,0.477922194,1.537357739,0.01813443,0.170114918,1409.720102,1323.916112,0.132400367,0.714044577,-0.217885344
62,2.82E-05,-0.781440999,0.408074525,3.197072225,0.013129035,0.478713554,1970.733768,1630.126282,0.136567086,0.66096618,-0.475314583
63,2.04E-05,-0.509711413,0.600852182,1.611964476,0.027585965,0.046676481,730.4495662,601.8200999,0.101447243,0.220131702,0.023037349
64,1.39E-05,-1.673803113,0.460555473,3.187104758,0.021240926,0.224078568,1370.573453,1962.227572,0.120817028,0.392528781,0.218969834
65,2.91E-05,-1.000035808,0.524522344,1.985905683,0.023410814,0.324147416,1760.225502,513.8011836,0.06816579,0.853868382,-0.056913482
66,1.79E-05,-1.37653348,0.342570237,3.52480118,0.013857445,0.479673106,1971.47543,1157.520268,0.084541497,0.018177991,-0.112714878
67,1.42E-05,-1.69457006,0.613350745,2.646337065,0.017214555,0.474522892,540.9055685,1539.626262,0.08657521,0.42604984,0.243346836
68,1.33E-05,-1.146789588,0.67700855,0.467658535,0.015876534,0.132726989,1064.717696,1023.582037,0.079014319,0.247744835,0.091074511
69,1.18E-05,-0.268491547,0.510738446,0.981462189,0.01756388,0.228435785,1302.889211,1014.589034,0.095083707,0.090523457,-0.000472992
