"me.S1","mae.S1","mse.S1","rmse.S1","pbias.S1","nse.S1","me.S1_conf","mae.S1_conf","mse.S1_conf","rmse.S1_conf","pbias.S1_conf","nse.S1_conf"
"s_imperv",0,0.00189467,0.00088842,0.00083659,0,0.00088842,0.00447291,0.00251376,0.00144072,0.00130228,0.00430174,0.00138211
"s_perv",0.000322513596,0.00270128,0.00441332,0.00411751,0.00046620188,0.00441332,0.00089162,0.00357454,0.00319319,0.00329839,0.00119924,0.00388486
"k_sat",0.0755535035,0.05513601,0.05411055,0.05080676,0.0755810901,0.05411055,0.03924754,0.04431662,0.03439051,0.03145321,0.03710593,0.03422148
"per_routed",0.267455976,0.05582629,0.02830262,0.02831118,0.267589436,0.02830262,0.04641017,0.03054734,0.02018885,0.01884973,0.04705304,0.02034452
"cmelt",0.0071081505,0.01072175,0.02640971,0.03066345,0.0076081913,0.02640971,0.00757382,0.02246427,0.03378584,0.04008667,0.00765131,0.03276811
"Tb",0.00494296588,0.01317121,0.02902564,0.02961274,0.0050750286,0.02902564,0.0058247,0.01718452,0.02610908,0.02643203,0.00568546,0.02758362
"A1",0.513812349,0.41768639,0.48937156,0.49543369,0.513726568,0.48937156,0.067384,0.05817514,0.06299687,0.06602146,0.07778085,0.06469653
"B1",0.0939169482,0.31254116,0.2218755,0.21127156,0.0941675119,0.2218755,0.03784737,0.06255142,0.04560258,0.04386549,0.03616474,0.05058228
"me.ST","mae.ST","mse.ST","rmse.ST","pbias.ST","nse.ST","me.ST_conf","mae.ST_conf","mse.ST_conf","rmse.ST_conf","pbias.ST_conf","nse.ST_conf"
"w",0.00258854337,0.00654014,0.0111685755,0.0104730864,0.00260670547,0.0111685755,0.00040808,0.00073128,0.00432957975,0.00312673464,0.00039273,0.00425999449
"n_imperv",0.0129677141,0.02470798,0.0210216262,0.0202673806,0.0129377308,0.0210216261,0.0022441,0.00312006,0.00284647269,0.00300820483,0.00199689,0.00297597155
"n_perv",0.000601280932,0.00277508,0.0263596786,0.0232954784,0.000608487393,0.0263596785,0.00033097,0.00166003,0.0163570385,0.0141482244,0.00035472,0.0154945976
"s_imperv",0.00295290885,0.00068543,0.000197538478,0.000192253365,0.0029717979,0.000197538475,0.00055971,0.00013298,4.26608795e-05,4.4049398e-05,0.00054807,4.53846155e-05
"s_perv",0.000157168886,0.00085705,0.00224330491,0.00204350489,0.000168666261,0.00224330491,0.00011674,0.00066365,0.00139175027,0.00123989082,0.00012565,0.00165578904
