w,n_imperv,n_perv,s_imperv,s_perv,k_sat,per_routed,cmelt,Tb,A1,B1
1223.6328125,0.14118164062500002,0.114462890625,9.580078125,1.240234375,7.512255859375,45.21484375,1.22265625,0.193359375,0.00913955078125,1.482421875
1063.4765625,0.189052734375,0.114462890625,9.580078125,1.240234375,7.512255859375,45.21484375,1.22265625,0.193359375,0.00913955078125,1.482421875
1063.4765625,0.14118164062500002,0.14823242187500002,9.580078125,1.240234375,7.512255859375,45.21484375,1.22265625,0.193359375,0.00913955078125,1.482421875
1063.4765625,0.14118164062500002,0.114462890625,1.748046875,1.240234375,7.512255859375,45.21484375,1.22265625,0.193359375,0.00913955078125,1.482421875
1063.4765625,0.14118164062500002,0.114462890625,9.580078125,1.513671875,7.512255859375,45.21484375,1.22265625,0.193359375,0.00913955078125,1.482421875
1063.4765625,0.14118164062500002,0.114462890625,9.580078125,1.240234375,1.268505859375,45.21484375,1.22265625,0.193359375,0.00913955078125,1.482421875
1063.4765625,0.14118164062500002,0.114462890625,9.580078125,1.240234375,7.512255859375,56.34765625,1.22265625,0.193359375,0.00913955078125,1.482421875
1063.4765625,0.14118164062500002,0.114462890625,9.580078125,1.240234375,7.512255859375,45.21484375,1.08984375,0.193359375,0.00913955078125,1.482421875
1063.4765625,0.14118164062500002,0.114462890625,9.580078125,1.240234375,7.512255859375,45.21484375,1.22265625,-0.708984375,0.00913955078125,1.482421875
1063.4765625,0.14118164062500002,0.114462890625,9.580078125,1.240234375,7.512255859375,45.21484375,1.22265625,0.193359375,0.005581738281250001,1.482421875
1063.4765625,0.14118164062500002,0.114462890625,9.580078125,1.240234375,7.512255859375,45.21484375,1.22265625,0.193359375,0.00913955078125,1.662109375
1063.4765625,0.189052734375,0.14823242187500002,1.748046875,1.513671875,1.268505859375,56.34765625,1.08984375,-0.708984375,0.005581738281250001,1.662109375
1223.6328125,0.14118164062500002,0.14823242187500002,1.748046875,1.513671875,1.268505859375,56.34765625,1.08984375,-0.708984375,0.005581738281250001,1.662109375
1223.6328125,0.189052734375,0.114462890625,1.748046875,1.513671875,1.268505859375,56.34765625,1.08984375,-0.708984375,0.005581738281250001,1.662109375
1223.6328125,0.189052734375,0.14823242187500002,9.580078125,1.513671875,1.268505859375,56.34765625,1.08984375,-0.708984375,0.005581738281250001,1.662109375
1223.6328125,0.189052734375,0.14823242187500002,1.748046875,1.240234375,1.268505859375,56.34765625,1.08984375,-0.708984375,0.005581738281250001,1.662109375
1223.6328125,0.189052734375,0.14823242187500002,1.748046875,1.513671875,7.512255859375,56.34765625,1.08984375,-0.708984375,0.005581738281250001,1.662109375
1223.6328125,0.189052734375,0.14823242187500002,1.748046875,1.513671875,1.268505859375,45.21484375,1.08984375,-0.708984375,0.005581738281250001,1.662109375
1223.6328125,0.189052734375,0.14823242187500002,1.748046875,1.513671875,1.268505859375,56.34765625,1.22265625,-0.708984375,0.005581738281250001,1.662109375
1223.6328125,0.189052734375,0.14823242187500002,1.748046875,1.513671875,1.268505859375,56.34765625,1.08984375,0.193359375,0.005581738281250001,1.662109375
1223.6328125,0.189052734375,0.14823242187500002,1.748046875,1.513671875,1.268505859375,56.34765625,1.08984375,-0.708984375,0.00913955078125,1.662109375
1223.6328125,0.189052734375,0.14823242187500002,1.748046875,1.513671875,1.268505859375,56.34765625,1.08984375,-0.708984375,0.005581738281250001,1.482421875
1223.6328125,0.189052734375,0.14823242187500002,1.748046875,1.513671875,1.268505859375,56.34765625,1.08984375,-0.708984375,0.005581738281250001,1.662109375
1313.4765625,0.093681640625,0.066962890625,2.080078125,3.740234375,5.014755859375,70.21484375,0.22265625,1.693359375,0.00666455078125,1.982421875
1473.6328125,0.093681640625,0.066962890625,2.080078125,3.740234375,5.014755859375,70.21484375,0.22265625,1.693359375,0.00666455078125,1.982421875
1313.4765625,0.046552734375,0.066962890625,2.080078125,3.740234375,5.014755859375,70.21484375,0.22265625,1.693359375,0.00666455078125,1.982421875
1313.4765625,0.093681640625,0.100732421875,2.080078125,3.740234375,5.014755859375,70.21484375,0.22265625,1.693359375,0.00666455078125,1.982421875
1313.4765625,0.093681640625,0.066962890625,4.248046875,3.740234375,5.014755859375,70.21484375,0.22265625,1.693359375,0.00666455078125,1.982421875
