"me.delta","mae.delta","mse.delta","rmse.delta","pbias.delta","nse.delta","me.delta_conf","mae.delta_conf","mse.delta_conf","rmse.delta_conf","pbias.delta_conf","nse.delta_conf"
"B1",0.16085878,0.25792524,0.24271126,0.24235204,0.16087346,0.2426408,0.00593241,0.00638751,0.00535728,0.00375947,0.00613506,0.00288784
"me.S1","mae.S1","mse.S1","rmse.S1","pbias.S1","nse.S1","me.S1_conf","mae.S1_conf","mse.S1_conf","rmse.S1_conf","pbias.S1_conf","nse.S1_conf"
"w",0.00268522,0.00799519,0.00470259,0.00448766,0.00268866,0.00470259,0.00172765,0.00297325,0.00283735,0.00174718,0.0024866,0.00215372
"n_imperv",0.00658942,0.02402908,0.00751576,0.00744492,0.00658528,0.00751576,0.0029749,0.00431959,0.00209907,0.00431382,0.00259018,0.00298835
"n_perv",0.0042154,0.00454117,0.00616449,0.00613477,0.00421264,0.00616449,0.00274088,0.00094739,0.00275275,0.00269753,0.00255354,0.00200338
"s_imperv",0.00514836,0.00360399,0.00402356,0.00404076,0.00514446,0.00402356,0.00112288,0.00252772,0.00181211,0.00213907,0.00073134,0.00199011
"s_perv",0.0032335,0.0026694,0.00294764,0.00300521,0.00323595,0.00294764,0.00223095,0.00175234,0.00152871,0.00194039,0.00163785,0.00143419
"k_sat",0.04728377,0.02851055,0.02318208,0.02220477,0.04727282,0.02318208,0.00397529,0.00712756,0.00412078,0.00478398,0.00551302,0.00859877
"per_routed",0.27036188,0.05026832,0.02616933,0.0256604,0.27036968,0.02616933,0.01150071,0.00593438,0.00317329,0.00439273,0.01064196,0.00374723
"cmelt",0.00940235,0.01524009,0.03137708,0.03506967,0.00940858,0.03137708,0.00310452,0.00329723,0.00347051,0.00654164,0.00257684,0.00631306
"Tb",0.00547399,0.01995698,0.03386475,0.03449023,0.00546537,0.03386475,0.00225464,0.0019776,0.00524073,0.00204293,0.00266784,0.00437
"A1",0.50282002,0.42230867,0.4962848,0.50387261,0.50281131,0.4962848,0.01095879,0.01242868,0.01019964,0.01331524,0.01426072,0.01351964
"B1",0.08295966,0.30108712,0.20596573,0.19554678,0.08297281,0.20596573,0.00770968,0.00899192,0.01682077,0.00572902,0.00956636,0.00879212
"me.delta","mae.delta","mse.delta","rmse.delta","pbias.delta","nse.delta","me.delta_conf","mae.delta_conf","mse.delta_conf","rmse.delta_conf","pbias.delta_conf","nse.delta_conf"
"w",0.05688207,0.07486996,0.0686538,0.06663703,0.05726384,0.06768533,0.00387197,0.00399349,0.00475229,0.00390376,0.00366085,0.003195
"n_imperv",0.06638428,0.08984642,0.06963898,0.06874535,0.06736131,0.06961521,0.00406764,0.00453913,0.0055089,0.00314944,0.00433889,0.00219677
"n_perv",0.06299178,0.06033176,0.05847343,0.05903656,0.06141614,0.05890097,0.00284923,0.00388065,0.00309576,0.00291039,0.00421407,0.00468541
"s_imperv",0.05798736,0.05503603,0.0571212,0.0574144,0.05762623,0.05791566,0.00465809,0.00348307,0.00426233,0.00377961,0.00267403,0.00354774
